Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409354e-06,2.29920754591742e-09,8.96690942907796e-09,4e-05,2,0,199999999999983
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409357e-06,2.29920754591744e-09,8.966909429078e-09,4e-05,2,0,199999999999984
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409385e-06,2.29920754591755e-09,8.96690942907845e-09,4e-05,2,0,199999999999994
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409385e-06,2.29920754591755e-09,8.96690942907845e-09,4e-05,2,0,199999999999994
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409388e-06,2.29920754591756e-09,8.9669094290785e-09,4e-05,2,0,199999999999995
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409385e-06,2.29920754591755e-09,8.96690942907845e-09,4e-05,2,0,199999999999994
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409385e-06,2.29920754591755e-09,8.96690942907845e-09,4e-05,2,0,199999999999994
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409354e-06,2.29920754591742e-09,8.96690942907796e-09,4e-05,2,0,199999999999983
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409388e-06,2.29920754591756e-09,8.9669094290785e-09,4e-05,2,0,199999999999995
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409379e-06,2.29920754591753e-09,8.96690942907836e-09,4e-05,2,0,199999999999992
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409354e-06,2.29920754591742e-09,8.96690942907796e-09,4e-05,2,0,199999999999983
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409388e-06,2.29920754591756e-09,8.9669094290785e-09,4e-05,2,0,199999999999995
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409357e-06,2.29920754591744e-09,8.966909429078e-09,4e-05,2,0,199999999999984
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.4243431840939e-06,2.29920754591757e-09,8.96690942907854e-09,4e-05,2,0,199999999999996
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409348e-06,2.2992075459174e-09,8.96690942907787e-09,4e-05,2,0,199999999999981
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409388e-06,2.29920754591756e-09,8.9669094290785e-09,4e-05,2,0,199999999999995
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409379e-06,2.29920754591753e-09,8.96690942907836e-09,4e-05,2,0,199999999999992
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409388e-06,2.29920754591756e-09,8.9669094290785e-09,4e-05,2,0,199999999999995
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409379e-06,2.29920754591753e-09,8.96690942907836e-09,4e-05,2,0,199999999999992
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409354e-06,2.29920754591742e-09,8.96690942907796e-09,4e-05,2,0,199999999999983
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409393e-06,2.29920754591759e-09,8.96690942907858e-09,4e-05,2,0,199999999999997
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409354e-06,2.29920754591742e-09,8.96690942907796e-09,4e-05,2,0,199999999999983
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409351e-06,2.29920754591741e-09,8.96690942907791e-09,4e-05,2,0,199999999999982
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409385e-06,2.29920754591755e-09,8.96690942907845e-09,4e-05,2,0,199999999999994
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409379e-06,2.29920754591753e-09,8.96690942907836e-09,4e-05,2,0,199999999999992
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409357e-06,2.29920754591744e-09,8.966909429078e-09,4e-05,2,0,199999999999984
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409348e-06,2.2992075459174e-09,8.96690942907787e-09,4e-05,2,0,199999999999981
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409357e-06,2.29920754591744e-09,8.966909429078e-09,4e-05,2,0,199999999999984
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409351e-06,2.29920754591741e-09,8.96690942907791e-09,4e-05,2,0,199999999999982
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409388e-06,2.29920754591756e-09,8.9669094290785e-09,4e-05,2,0,199999999999995
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409379e-06,2.29920754591753e-09,8.96690942907836e-09,4e-05,2,0,199999999999992
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409365e-06,2.29920754591747e-09,8.96690942907814e-09,4e-05,2,0,199999999999987
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409357e-06,2.29920754591744e-09,8.966909429078e-09,4e-05,2,0,199999999999984
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409354e-06,2.29920754591742e-09,8.96690942907796e-09,4e-05,2,0,199999999999983
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409393e-06,2.29920754591759e-09,8.96690942907858e-09,4e-05,2,0,199999999999997
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409379e-06,2.29920754591753e-09,8.96690942907836e-09,4e-05,2,0,199999999999992
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409374e-06,2.29920754591751e-09,8.96690942907827e-09,4e-05,2,0,199999999999990
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409357e-06,2.29920754591744e-09,8.966909429078e-09,4e-05,2,0,199999999999984
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409368e-06,2.29920754591748e-09,8.96690942907818e-09,4e-05,2,0,199999999999988
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409354e-06,2.29920754591742e-09,8.96690942907796e-09,4e-05,2,0,199999999999983
195312516607.507,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409348e-06,2.2992075459174e-09,8.96690942907787e-09,4e-05,2,0,199999999999981
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409359e-06,2.29920754591745e-09,8.96690942907805e-09,4e-05,2,0,199999999999985
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
195312516607.507,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409388e-06,2.29920754591756e-09,8.9669094290785e-09,4e-05,2,0,199999999999995
195312516607.507,16375.4441774934,16375.4441774934,16375.4441774934,8.42434318409362e-06,2.29920754591746e-09,8.96690942907809e-09,4e-05,2,0,199999999999986
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409379e-06,2.29920754591753e-09,8.96690942907836e-09,4e-05,2,0,199999999999992
195312516607.507,16375.4441774935,16375.4441774935,16375.4441774935,8.42434318409371e-06,2.29920754591749e-09,8.96690942907823e-09,4e-05,2,0,199999999999989
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409382e-06,2.29920754591754e-09,8.96690942907841e-09,4e-05,2,0,199999999999993
195312516607.507,16375.4441774936,16375.4441774936,16375.4441774936,8.42434318409376e-06,2.29920754591752e-09,8.96690942907832e-09,4e-05,2,0,199999999999991
